Computing id,A Cappella,Fraternity or Sorority,Cultural & Ethnic,Honor Society,Social & Hobby,Religious & Spiritual,Visual & Performing Arts,Academic & Professional,Political & Advocacy
dwj7ma,Christian 'Hoos Exalt,,,,,,,,
pmh3ax,Chrsitian 'Hoos Exalt,,,,,"Chrsitian 'Hoos Exalt, Cru",Chrsitian 'Hoos Exalt,,
fpv5gr,Christian 'Hoos Exalt,,,,,,,,
aby4fu,Christian 'Hoos Exalt,,,,,,,,
gqk5bm,Christian 'Hoos Exalt,,,,,,,,
ymx9qt,Christian 'Hoos Exalt,,,,,,,,
vkh4pg,,Theta Delta Chi,,,,,,,
skn4vr,,Theta Delta Chi,,,,,,,
jnn7nd,,Sigma Phi Epsilon Fraternity,,,,,,,
djf2ej,,Theta Delta Chi Fraternity - Nu Charge,,,,,,,
gvz4gy,,,Indian Student Association ,,,,,,
kwc3am,,,,Senior Investigator Council on UVA Honor,,,,,
vzh2vs,,,,,Be a Problem Solver,,,,
fxr8kz,,,,,"The Washington Literary and Debating Society, Hoos Motor Club",,,"The Washington Literary and Debating Society, The Association for Computing Machinery, Virginia Entrepreneurship Organization",The Washington Literary and Debating Society
mun7du,,,,,,,UVA Costume Shop Assistant,,
yez9pj,,,,,,,,"Association for Computing Machinery, Google Developers Student Club, ProjectCode",
