Computing id,Gender,Year,"Are you a transfer student? If so, what year did you transfer?",School,Major(s) and/or minor(s),Living situation,"What are some of your hobbies (e.g., sports, reading, music, gaming, etc.)?",Do you prefer to study alone or in groups?,Academic interests,Religious & Spiritual,Fraternity or Sorority,Social & Hobby,Public Service,Media Group,Cultural & Ethnic,Visual & Performing Arts,Honor Society,Academic & Professional,A Cappella,Peer Mentors,Debate,Choir,How introverted/extroverted would you like your MENTOR to be?,What personality traits would you prefer your mentor to have (select up to 3)?,How much do you care about your mentor's personality (the above two questions)?,How much do you prefer that your mentor has been involved in research?,"How much do you prefer that your mentor has had experience related to their major (e.g., an internship)?",How many hours per MONTH would you prefer mentorship?,Preferred Mentorship Style (select up to 2),How much do you prefer a mentor with similar hobbies/interests?,How much do you prefer a mentor who shares your major or academic interests?,How much do you prefer a mentor with the same gender?
wud3tx,Female,1st,"No, I'm not",College of Arts and Sciences,"Biology, Chemistry, Commerce",On grounds,,Either,"STEM, Business",,,table tennis,"Class Council, University Guide Service, Program Director in C.A.S.H. Madison House",,,,"Senior Investigator Council on UVA Honor, Echols Scholar & Echols Peer Mentor","Bolton Lab (research), Teaching Assistant for Operation Research, Research Assistant in the Philosophy Dept, Resident Advisor",,Echols Scholar & Echols Peer Mentor,,,,"Outgoing, Empathetic, Spontaneous",5,5,5,4-6,"One-on-One Meetings, Virtual Check-ins",3,5,1
jex3rc,Male,1st,"No, I'm not",College of Arts and Sciences,"Commerce",On grounds,"Playing pickleball, playing video games, listening to music, watching tv shows, etc.",Either,"STEM, Business",,,,Program Director in C.A.S.H. Madison House,,Indian Student Association,,,"Resident Advisor, table tennis, sales and trading group",,,,,4,"Outgoing, Analytical, Creative",3,2,4,4-6,"One-on-One Meetings, Casual Hangouts",4,4,4
ybu6vk,Female,3rd,2nd,College of Arts and Sciences,"Computer Science",Off grounds,"Reading(books, comics, webcomics), video games for sure, art, music",Either,"STEM, Humanities, Arts",,,Student Game Developers,,,,UVA Costume Shop Assistant,,Google Developers Student Club,,,,,3,"Empathetic, Creative, Spontaneous",3,3,3,4-6,"One-on-One Meetings, Casual Hangouts",4,4,4
vzj5ee,Male,1st,"No, I'm not",College of Arts and Sciences,"Physics, Mathematics",On grounds,"Creative writing (novels), violin, chess, video gaming",Either,STEM,,,,Class Council,,,,,Resident Advisor,,Resident Advisor,,,4,"Outgoing, Empathetic, Analytical",2,3,4,2-3,"One-on-One Meetings, Group Meetings",3,4,2
kvp8as,Female,1st,"No, I'm not",College of Arts and Sciences,"Commerce, Foreign Affairs, Mandarin-Potential Minors",On grounds,"Playing volleyball/basketball, reading books, spending time with friends, watch tv",Either,Business,,,,,,,,,,,,,,5,"Outgoing, Adventurous, Organized",4,1,4,I am open to any amount of time,"One-on-One Meetings, Casual Hangouts",4,5,1
npw9hv,Female,2nd,"No, I'm not",College of Arts and Sciences,"Psychology, Biology",On grounds,"Tennis, crocheting, the environment, watching anime, gaming (when I have time) ",Alone,"STEM, Business",,,,,,,,Echols Scholar & Echols Peer Mentor,"Virginia Entrepreneurship Organization, Resident Advisor",,"Residential Life (HRL), Resident Advisor, Echols Scholar & Echols Peer Mentor",,,3,Organized,4,4,4,2-3,"Virtual Check-ins, Casual Hangouts",3,4,1
ajt8mm,Male,3rd,3rd,College of Arts and Sciences,Media Studies ,On grounds,"hiking, philosophy, travel, content creation, getting rich, reading",Alone,Arts,,,"Outdoors Club, table tennis",,,"Indian Student Association, Multi Race Student Coalition",,,"Virginia Entrepreneurship Organization, The Philosophy Club",,,,,3,"Adventurous, Analytical, Creative",3,1,3,1 or less,"One-on-One Meetings, Casual Hangouts",5,3,3
rem4eb,Female,1st,"No, I'm not",School of Engineering and Applied Science,"Biomedical Engineering, Business",On grounds,Crocheting; baking/cooking; traveling; reading; hiking.,"Alone most of the time, but group settings occasionally",STEM,,,Be a Problem Solver,,,,,,,,,,,4,"Analytical, Creative, Spontaneous",3,5,5,2-3,"One-on-One Meetings, Casual Hangouts",3,5,2
bky8dm,Female,1st,"No, I'm not",College of Arts and Sciences,"Neuroscience, Pre-med",On grounds,"fashion, music, hiking, painting",Either,"STEM, Humanities",,,Outdoors Club,,,,,Echols Scholar & Echols Peer Mentor,"Bolton Lab (research), Teaching Assistant for Operation Research",,,,,4,"Empathetic, Creative, Spontaneous",5,4,3,4-6,"Virtual Check-ins, Casual Hangouts",4,4,3
pyp2xp,Male,1st,"No, I'm not",College of Arts and Sciences,"PPL, Foreign Affairs, Japanese",On grounds,,Alone,"Humanities, Social Sciences",,,The Washington Literary and Debating Society,"Class Council, University Guide Service",,Multi Race Student Coalition,,"Senior Investigator Council on UVA Honor, Echols Scholar & Echols Peer Mentor","The Washington Literary and Debating Society, Research Assistant in the Philosophy Dept",,,The Washington Literary and Debating Society,,3,,3,5,5,2-3,"One-on-One Meetings, Casual Hangouts",5,5,3
